"State or other
geographic area",Beer,Wine,Spirits,All beverages,"U.S. decile for all beverages
"
Colorado.1977,1.43 ,0.36 ,1.22 ,3.01 ,3 
Connecticut.2009,0.89 ,0.59 ,0.86 ,2.34 ,6 
Connecticut.2008,0.94 ,0.59 ,0.86 ,2.39 ,6 
Connecticut.2007,0.93 ,0.58 ,0.85 ,2.35 ,6 
Connecticut.2006,0.93 ,0.55 ,0.84 ,2.32 ,6 
Connecticut.2005,0.90 ,0.54 ,0.79 ,2.23 ,6 
Connecticut.2004,0.92 ,0.53 ,0.79 ,2.24 ,6 
Connecticut.2003,0.93 ,0.52 ,0.77 ,2.22 ,6 
Connecticut.2002,0.95 ,0.50 ,0.74 ,2.20 ,6 
Connecticut.2001,0.95 ,0.50 ,0.74 ,2.19 ,6 
Connecticut.2000,0.94 ,0.49 ,0.74 ,2.18 ,6 
Connecticut.1999,0.94 ,0.49 ,0.75 ,2.18 ,6 
Connecticut.1998,0.96 ,0.48 ,0.74 ,2.18 ,6 
Connecticut.1997,0.95 ,0.48 ,0.74 ,2.17 ,6 
Connecticut.1996,0.94 ,0.46 ,0.72 ,2.13 ,6 
Connecticut.1995,0.97 ,0.49 ,0.77 ,2.22 ,5 
Connecticut.1994,0.99 ,0.43 ,0.78 ,2.20 ,6 
Connecticut.1993,0.96 ,0.44 ,0.80 ,2.20 ,6 
Connecticut.1992,1.01 ,0.45 ,0.83 ,2.30 ,6 
Connecticut.1991,1.03 ,0.43 ,0.84 ,2.29 ,6 
Connecticut.1990,1.09 ,0.45 ,0.92 ,2.46 ,6 
Connecticut.1989,1.09 ,0.47 ,0.98 ,2.54 ,4 
Connecticut.1988,1.14 ,0.51 ,1.07 ,2.71 ,3 
Connecticut.1987,1.15 ,0.52 ,1.12 ,2.79 ,3 
Connecticut.1986,1.13 ,0.51 ,1.15 ,2.79 ,3 
Connecticut.1985,1.14 ,0.50 ,1.20 ,2.84 ,3 
Connecticut.1984,1.10 ,0.50 ,1.20 ,2.80 ,4 
Connecticut.1983,1.10 ,0.49 ,1.23 ,2.82 ,4 
Connecticut.1982,1.04 ,0.49 ,1.20 ,2.73 ,6 
Connecticut.1981,1.05 ,0.44 ,1.18 ,2.67 ,6 
Connecticut.1980,1.06 ,0.43 ,1.21 ,2.70 ,6 
Connecticut.1979,1.13 ,0.40 ,1.20 ,2.72 ,5 
Connecticut.1978,1.07 ,0.38 ,1.20 ,2.65 ,6 
Connecticut.1977,1.05 ,0.35 ,1.21 ,2.61 ,6 
Delaware.2009,1.31 ,0.57 ,1.25 ,3.13 ,1 
Delaware.2008,1.36 ,0.58 ,1.25 ,3.20 ,1 
Delaware.2007,1.39 ,0.59 ,1.25 ,3.23 ,1 
Delaware.2006,1.43 ,0.60 ,1.28 ,3.30 ,1 
Delaware.2005,1.43 ,0.59 ,1.25 ,3.27 ,1 
Delaware.2004,1.41 ,0.57 ,1.28 ,3.26 ,1 
Delaware.2003,1.37 ,0.56 ,1.17 ,3.11 ,1 
Delaware.2002,1.39 ,0.52 ,1.10 ,3.01 ,1 
Delaware.2001,1.38 ,0.49 ,1.06 ,2.93 ,1 
Delaware.2000,1.36 ,0.48 ,1.05 ,2.89 ,1 
Delaware.1999,1.40 ,0.48 ,1.03 ,2.90 ,1 
Delaware.1998,1.36 ,0.47 ,0.98 ,2.82 ,1 
Delaware.1997,1.37 ,0.46 ,0.99 ,2.81 ,1 
Delaware.1996,1.39 ,0.45 ,0.94 ,2.78 ,1 
Delaware.1995,1.30 ,0.40 ,0.92 ,2.62 ,2 
Delaware.1994,1.43 ,0.38 ,0.95 ,2.76 ,1 
Delaware.1993,1.46 ,0.35 ,0.95 ,2.76 ,1 
Delaware.1992,1.40 ,0.36 ,0.97 ,2.73 ,2 
Delaware.1991,1.40 ,0.35 ,0.95 ,2.70 ,2 
Delaware.1990,1.44 ,0.37 ,1.14 ,2.95 ,2 
Delaware.1989,1.40 ,0.38 ,1.13 ,2.91 ,2 
Delaware.1988,1.44 ,0.40 ,1.19 ,3.03 ,1 
Delaware.1987,1.44 ,0.42 ,1.22 ,3.08 ,2 
Delaware.1986,1.45 ,0.44 ,1.23 ,3.13 ,2 
Delaware.1985,1.46 ,0.41 ,1.30 ,3.16 ,2 
Delaware.1984,1.51 ,0.38 ,1.28 ,3.17 ,2 
Delaware.1983,1.53 ,0.35 ,1.34 ,3.22 ,2 
Delaware.1982,1.53 ,0.34 ,1.36 ,3.23 ,3 
Delaware.1981,1.51 ,0.32 ,1.39 ,3.23 ,3 
Delaware.1980,1.45 ,0.29 ,1.38 ,3.12 ,3 
Delaware.1979,1.38 ,0.27 ,1.34 ,2.99 ,4 
Delaware.1978,1.33 ,0.25 ,1.33 ,2.91 ,4 
Delaware.1977,1.32 ,0.24 ,1.35 ,2.91 ,4 
DistrictofColumbia.2009,1.26 ,1.00 ,1.64 ,3.90 ,1 
DistrictofColumbia.2008,1.34 ,1.00 ,1.63 ,3.97 ,1 
DistrictofColumbia.2007,1.35 ,0.99 ,1.61 ,3.95 ,1 
DistrictofColumbia.2006,1.36 ,0.95 ,1.58 ,3.89 ,1 
DistrictofColumbia.2005,1.38 ,0.92 ,1.53 ,3.84 ,1 
DistrictofColumbia.2004,1.41 ,0.94 ,1.57 ,3.93 ,1 
DistrictofColumbia.2003,1.40 ,0.90 ,1.54 ,3.84 ,1 
DistrictofColumbia.2002,1.36 ,0.84 ,1.47 ,3.67 ,1 
DistrictofColumbia.2001,1.33 ,0.82 ,1.46 ,3.61 ,1 
DistrictofColumbia.2000,1.35 ,0.70 ,1.48 ,3.53 ,1 
DistrictofColumbia.1999,1.37 ,0.73 ,1.35 ,3.45 ,1 
DistrictofColumbia.1998,1.37 ,0.73 ,1.44 ,3.55 ,1 
DistrictofColumbia.1997,1.40 ,0.74 ,1.61 ,3.75 ,1 
DistrictofColumbia.1996,1.42 ,0.74 ,1.47 ,3.63 ,1 
DistrictofColumbia.1995,1.51 ,0.72 ,1.52 ,3.74 ,1 
DistrictofColumbia.1994,1.50 ,0.74 ,1.52 ,3.76 ,1 
DistrictofColumbia.1993,1.51 ,0.73 ,1.54 ,3.78 ,1 
DistrictofColumbia.1992,1.61 ,0.70 ,1.74 ,4.05 ,1 
DistrictofColumbia.1991,1.42 ,0.61 ,1.85 ,3.89 ,1 
DistrictofColumbia.1990,1.42 ,0.76 ,1.96 ,4.14 ,1 
DistrictofColumbia.1989,1.49 ,0.88 ,1.85 ,4.22 ,1 
DistrictofColumbia.1988,1.47 ,0.99 ,2.02 ,4.48 ,1 
DistrictofColumbia.1987,1.48 ,1.00 ,2.37 ,4.85 ,1 
DistrictofColumbia.1986,1.52 ,1.04 ,2.19 ,4.75 ,1 
DistrictofColumbia.1985,1.49 ,1.03 ,2.42 ,4.94 ,1 
DistrictofColumbia.1984,1.56 ,1.11 ,2.68 ,5.34 ,1 
DistrictofColumbia.1983,1.55 ,1.08 ,2.79 ,5.41 ,1 
DistrictofColumbia.1982,1.48 ,1.00 ,2.91 ,5.39 ,1 
DistrictofColumbia.1981,1.50 ,1.06 ,2.92 ,5.49 ,1 
DistrictofColumbia.1980,1.49 ,0.99 ,2.94 ,5.42 ,1 
DistrictofColumbia.1979,1.48 ,0.99 ,3.03 ,5.49 ,1 
DistrictofColumbia.1978,1.43 ,0.94 ,3.14 ,5.51 ,1 
DistrictofColumbia.1977,1.39 ,0.89 ,3.26 ,5.53 ,1 
Florida.2009,1.21 ,0.48 ,0.92 ,2.61 ,3 
Florida.2008,1.25 ,0.49 ,0.90 ,2.64 ,3 
Florida.2007,1.30 ,0.49 ,0.93 ,2.72 ,2 
Florida.2006,1.33 ,0.48 ,0.92 ,2.73 ,2 
Florida.2005,1.34 ,0.47 ,0.91 ,2.71 ,2 
Florida.2004,1.35 ,0.46 ,0.89 ,2.70 ,2 
Florida.2003,1.32 ,0.44 ,0.86 ,2.63 ,2 
Florida.2002,1.32 ,0.43 ,0.84 ,2.59 ,2 
Florida.2001,1.33 ,0.40 ,0.82 ,2.56 ,2 
Florida.2000,1.32 ,0.40 ,0.82 ,2.55 ,2 
Florida.1999,1.33 ,0.40 ,0.80 ,2.53 ,2 
Florida.1998,1.30 ,0.38 ,0.79 ,2.47 ,2 
Florida.1997,1.34 ,0.37 ,0.80 ,2.51 ,2 
Florida.1996,1.36 ,0.37 ,0.81 ,2.54 ,2 
Florida.1995,1.34 ,0.35 ,0.82 ,2.50 ,2 
Florida.1994,1.40 ,0.33 ,0.87 ,2.60 ,2 
Florida.1993,1.44 ,0.33 ,0.92 ,2.68 ,2 
Florida.1992,1.45 ,0.34 ,0.96 ,2.75 ,1 
Florida.1991,1.43 ,0.34 ,0.92 ,2.69 ,2 
Florida.1990,1.54 ,0.39 ,1.04 ,2.96 ,2 
Florida.1989,1.51 ,0.39 ,1.00 ,2.90 ,2 
Florida.1988,1.51 ,0.41 ,1.00 ,2.92 ,2 
Florida.1987,1.51 ,0.42 ,1.03 ,2.95 ,2 
Florida.1986,1.50 ,0.41 ,1.05 ,2.96 ,2 
Florida.1985,1.47 ,0.41 ,1.16 ,3.04 ,3 
Florida.1984,1.48 ,0.40 ,1.24 ,3.12 ,2 
Florida.1983,1.56 ,0.40 ,1.23 ,3.19 ,2 
Florida.1982,1.56 ,0.40 ,1.33 ,3.29 ,2 
Florida.1981,1.55 ,0.39 ,1.38 ,3.31 ,3 
Florida.1980,1.42 ,0.37 ,1.43 ,3.22 ,3 
Florida.1979,1.47 ,0.37 ,1.51 ,3.34 ,2 
Florida.1978,1.41 ,0.34 ,1.48 ,3.23 ,3 
Florida.1977,1.33 ,0.33 ,1.47 ,3.13 ,2 
Georgia.2009,1.08 ,0.25 ,0.64 ,1.97 ,9 
Georgia.2008,1.13 ,0.25 ,0.64 ,2.02 ,9 
Georgia.2007,1.16 ,0.26 ,0.64 ,2.06 ,8 
Georgia.2006,1.17 ,0.26 ,0.64 ,2.06 ,8 
Georgia.2005,1.13 ,0.26 ,0.63 ,2.01 ,8 
Georgia.2004,1.17 ,0.26 ,0.63 ,2.06 ,8 
Georgia.2003,1.19 ,0.26 ,0.66 ,2.11 ,7 
Georgia.2002,1.20 ,0.26 ,0.65 ,2.12 ,7 
Georgia.2001,1.19 ,0.26 ,0.65 ,2.10 ,7 
Georgia.2000,1.22 ,0.26 ,0.69 ,2.17 ,7 
Georgia.1999,1.23 ,0.27 ,0.69 ,2.20 ,6 
Georgia.1998,1.21 ,0.24 ,0.70 ,2.14 ,7 
Georgia.1997,1.19 ,0.25 ,0.70 ,2.14 ,6 
Georgia.1996,1.22 ,0.24 ,0.70 ,2.16 ,6 
Georgia.1995,1.20 ,0.22 ,0.71 ,2.13 ,6 
Georgia.1994,1.17 ,0.20 ,0.77 ,2.14 ,7 
Georgia.1993,1.23 ,0.20 ,0.77 ,2.20 ,6 
Georgia.1992,1.22 ,0.21 ,0.79 ,2.23 ,7 
Georgia.1991,1.16 ,0.22 ,0.78 ,2.17 ,7 
Georgia.1990,1.22 ,0.23 ,0.86 ,2.31 ,7 
Georgia.1989,1.18 ,0.24 ,0.94 ,2.37 ,6 
Georgia.1988,1.22 ,0.26 ,0.92 ,2.40 ,6 
Georgia.1987,1.22 ,0.27 ,1.00 ,2.49 ,6 
Georgia.1986,1.22 ,0.27 ,0.95 ,2.43 ,6 
Georgia.1985,1.17 ,0.25 ,1.01 ,2.43 ,7 
Georgia.1984,1.18 ,0.23 ,1.06 ,2.48 ,7 
Georgia.1983,1.14 ,0.22 ,1.05 ,2.42 ,7 
Georgia.1982,1.12 ,0.21 ,1.04 ,2.37 ,8 
Georgia.1981,1.10 ,0.18 ,1.09 ,2.38 ,8 
Georgia.1980,1.07 ,0.19 ,1.09 ,2.35 ,8 
Georgia.1979,1.17 ,0.19 ,1.22 ,2.58 ,7 
Georgia.1978,1.14 ,0.19 ,1.26 ,2.59 ,7 
Georgia.1977,1.08 ,0.16 ,1.23 ,2.47 ,7 
Hawaii.2009,1.30 ,0.53 ,0.75 ,2.58 ,4 
Hawaii.2008,1.35 ,0.52 ,0.74 ,2.62 ,4 
Hawaii.2007,1.34 ,0.49 ,0.80 ,2.62 ,3 
Hawaii.2006,1.30 ,0.48 ,0.78 ,2.56 ,3 
Hawaii.2005,1.32 ,0.46 ,0.74 ,2.52 ,3 
Hawaii.2004,1.39 ,0.49 ,0.68 ,2.56 ,2 
Hawaii.2003,1.30 ,0.42 ,0.67 ,2.39 ,4 
Hawaii.2002,1.27 ,0.39 ,0.62 ,2.28 ,5 
Hawaii.2001,1.30 ,0.38 ,0.60 ,2.28 ,5 
Hawaii.2000,1.33 ,0.39 ,0.60 ,2.33 ,4 
Hawaii.1999,1.31 ,0.39 ,0.56 ,2.26 ,5 
Hawaii.1998,1.32 ,0.37 ,0.54 ,2.22 ,5 
Hawaii.1997,1.37 ,0.37 ,0.56 ,2.30 ,4 
Hawaii.1996,1.40 ,0.36 ,0.58 ,2.34 ,4 
Hawaii.1995,1.41 ,0.34 ,0.57 ,2.32 ,4 
Hawaii.1994,1.46 ,0.38 ,0.62 ,2.47 ,3 
